model,n_cases,ED_mean,ED_std,ED_median,ED_min,ED_max,ED_ci_lower,ED_ci_upper,ET_mean,ET_std,ET_median,ET_min,ET_max,ET_ci_lower,ET_ci_upper,NCR_mean,NCR_std,NCR_median,NCR_min,NCR_max,NCR_ci_lower,NCR_ci_upper,TC_mean,TC_std,TC_median,TC_min,TC_max,TC_ci_lower,TC_ci_upper,WT_mean,WT_std,WT_median,WT_min,WT_max,WT_ci_lower,WT_ci_upper
Ensemble,50,0.8739958961625314,0.14828676380872224,0.9338561401334313,0.36911222053397,0.9823180553521745,0.8314254092276684,0.9165663830973944,0.8866486784084728,0.16729574306198824,0.9395298101468004,0.0,1.0,0.8386210523321146,0.9346763044848311,0.8418706659852814,0.27445400238615025,0.9366655270223609,0.0,1.0,0.7630798135672504,0.9206615184033123,0.9182488704969084,0.16876657033935216,0.9741123669147066,0.0,1.0,0.8697989961241667,0.9666987448696501,0.9373575495322592,0.07149848128839162,0.9636922651260151,0.5980871120897269,0.9884839587344616,0.9168316098909021,0.9578834891736164
Fold_0,50,0.8664718594680924,0.15244304728752983,0.9314491281668433,0.36541143654114366,0.983132530120482,0.822708177625015,0.9102355413111697,0.8880433411638343,0.15418471818889715,0.9349832112251024,0.0,1.0,0.8437796566472403,0.9323070256804283,0.8439973880891114,0.2539450036441187,0.9347145690480332,0.0,1.0,0.771094303672552,0.9169004725056707,0.9187362953501079,0.15385950531804346,0.9647213426914151,0.0,1.0,0.8745659736523801,0.9629066170478358,0.9331119500786668,0.07491526102487772,0.9605710844077109,0.583447284863374,0.9859001697201792,0.9116051138731428,0.9546187862841907
Fold_1,50,0.8719571499351554,0.14765506397166842,0.9347930841905068,0.36872011251758086,0.9763322362338671,0.8295680127645556,0.9143462871057552,0.8758999539241623,0.19801824201952936,0.9363029348428813,0.0,1.0,0.8190524459724036,0.9327474618759211,0.8360141145631043,0.276012697816327,0.9267971722301145,0.0,1.0,0.7567757884681148,0.9152524406580937,0.9052792203081073,0.20493850186989843,0.9731615591702913,0.0,1.0,0.8464450290949483,0.9641134115212662,0.9367352445260708,0.06951400678345954,0.9650850114375005,0.6102180487028489,0.9879090933142842,0.9167790121452603,0.9566914769068814
Fold_2,50,0.8736104378135497,0.14848551379746872,0.9355394678416584,0.3806296914095079,0.9849124268714567,0.8309828932992919,0.9162379823278076,0.878492913075371,0.18678295611361598,0.9366685674173458,0.0,1.0,0.8248708554576967,0.9321149706930454,0.8640210877467216,0.2471294246234772,0.9402340804764411,0.0,1.0,0.7930746345911021,0.9349675409023411,0.9106624920729196,0.18851189521283443,0.9739375673404449,0.0,1.0,0.8565440868552033,0.9647808972906359,0.935378315516822,0.0755724996335222,0.9629932063126208,0.5904761904761905,0.9869570546862836,0.9136827978208957,0.9570738332127484
Fold_3,50,0.8709768538461627,0.14867141670529915,0.9296678975858171,0.3230269810015433,0.9815258985297618,0.8282959399204639,0.9136577677718616,0.8922540294561203,0.1522242245487722,0.936158408993784,0.0,1.0,0.8485531677212041,0.9359548911910365,0.8384543470301817,0.2766817603683705,0.9381633219720138,0.0,1.0,0.7590239450013813,0.9178847490589822,0.924863016202398,0.15202066636098635,0.9735521286729604,0.0,1.0,0.8812205923951231,0.9685054400096729,0.9358546864851124,0.06759886210134758,0.9605430314820557,0.6207892421199883,0.9846955930683655,0.9164482580084006,0.9552611149618242
Fold_4,50,0.8692224866450978,0.1522059245918952,0.9305831143344021,0.34220198584672773,0.9798290974437965,0.825526878501636,0.9129180947885597,0.8829457543081716,0.17282034635118906,0.9384301178864844,0.0,1.0,0.8333321130939647,0.9325593955223784,0.8523328826604808,0.25304000376833935,0.9328852667332144,0.0,1.0,0.779689607578203,0.9249761577427585,0.9155856191829979,0.1749204508154548,0.9733828377018822,0.0,1.0,0.8653690754078234,0.9658021629581723,0.935295801835135,0.07141166797319913,0.9608902886057907,0.5942228968308726,0.9894809587411705,0.9147947847492728,0.9557968189209973
